"Welcome","Willkommen"
"Billing address","Adresse"
"Shipment","Versand"
"Payment","Zahlung"
"Confirmation","Bestätigung"
"Log out","Ausloggen"
"Confirm and pay","Bestätigen & bezahlen"
"Your order is not final yet","Ihre Bestellung ist noch nicht definitiv"
"You will continue to our secure payment page","Sie werden in unsere gesicherte Zahlungsumgebung weitergeleitet"
"Hello!","Hallo!"
"Checkout as guest","Als Gast bezahlen"
"Log in","Einloggen"
"hsapi_Register","Registrieren"
"Sign In","Anmelden"
"E-mail address","E-Mail-Adresse"
"ipad_Password","Passwort"
"Forgot your password?","Passwort vergessen?"
"Send","Senden"
"We have sent you an e-mail with which you can change your password.","Eine E-Mail, mit der Sie Ihr Passwort ändern können, wurde an die von Ihnen angegebene Adresse gesendet."
"Create an account now","Account erstellen"
"and checkout faster next time","und beim nächsten Mal noch einfacher bestellen"
"Please enter a valid e-mailaddress","Eine gültige E-Mailadresse eingeben"
"Please enter a valid password","Ein gültiges Passwort eingeben"
"Repeat the password","Passwort wiederholen"
"First Name","Vorname"
"Last Name","Nachname"
"Please enter a valid phone number.","Eine gültige Telefonnummer angeben"
"Phone number","Telefonnummer"
"We ask for your phone number so that we can call you about your order if need be. We will never use your telephone number for other purposes.","Wir bitten Sie um die Angabe Ihrer Telefonnummer, sodass wir Sie wegen Ihrer Bestellung anrufen können, falls nötig. Wir werden Ihre Telefonnummer niemals für andere Zwecke verwenden."
"Street","Straße"
"House number","Hausnummer"
"Zip code","PLZ"
"City","Ort"
"Something went wrong","Etwas ist schief gegangen"
"Please try again","Noch einmal versuchen"
"How do you want to pay for your order?","Wie möchten Sie Ihre Bestellung <br /> bezahlen?"
"Please check your order.","Ist Ihre Bestellung richtig?"
"Please check the order overview. If this is correct, you can place your order.","Hier sehen Sie eine Übersicht Ihrer Bestellung. Wenn alles richtig ist, können Sie die Bestellung absenden."
"How do you want to receive your order?","Wie möchten Sie Ihre Bestellung <br /> erhalten?"
"Invoice address / delivery address","Rechnungsadresse / Lieferadresse"
"Edit","Ändern"
"Delivery method","Versandoption"
"Payment method","Zahlungsweise"
"You can continue to the next step when you have entered all fields","Sie können erst zum nächsten Schritt gehen, wenn Sie alle Felder ausgefüllt haben"
"There has been an unknown error. Please try again later again later.","Ein unbekannter Fehler ist aufgetreten. Versuchen Sie es später noch einmal."
"Thanks for shopping at ","Schön, dass Sie bei "
".<span class='hidden'>_ORDER_TEXT</span>"," bestellen."
"When you tap 'Confirm and pay', you agree with ","Wenn Sie auf ""Bestätigen und bezahlen"" klicken, akzeptieren Sie "
"the general terms","die allgemeinen Geschäftsbedingungen"
" of "," von "
"Ship to the same address","Bestellung an die gleiche Adresse senden"
"Invoice address","Rechnungsadresse"
"Delivery address","Lieferadresse"
"Please make sure your passwords match.","Die eingegebenen Passwörter stimmen nicht überein."


"hsapi.index.couponTip","Haben Sie einen Gutschein? <br /> Diesen können Sie später im Schritt <br /> ""Zahlung"" einlösen."

"hsapi.addCouponAction.error.fatal","Ein unbekannter Fehler ist aufgetreten. Versuchen Sie es später noch einmal."
"hsapi.addCouponAction.error.invalid","Der Gutschein, den Sie eingegeben haben, ist nicht gültig."
"hsapi.addCouponAction.error.length","Der Gutschein, den Sie eingegeben haben, ist zu lang, die maximale Länge beträgt "
"hsapi.addCouponAction.success","Gutschein '{coupon_code}' wurde erfolgreich eingelöst. Sie können Ihren Rabatt in der Bestellliste ansehen."
"hsapi.addCouponAction.success.removed","Gutschein '{coupon_code}' wurde erfolgreich gelöscht."

"hsapi.checkout.coupon.addTitle","<u> Gutschein </u> hinzufügen"
"hsapi.checkout.coupon.form.title","Geben Sie hier den Gutscheincode ein."
"hsapi.checkout.coupon.form.code","Gutschein"
"hsapi.checkout.coupon.form.add","Hinzufügen"
"hsapi.checkout.coupon.form.remove","Entfernen"
"hsapi.checkout.coupon.paymentTitle","Wählen Sie aus den folgenden Zahlungsmöglichkeiten"

"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Die angegebene E-Mailadresse ist schon an einen Account gekoppelt. Loggen Sie sich mit dieser Adresse ein oder verwenden Sie eine andere E-Mailadresse für die Registrierung."
