"Welcome", "Welkom"
"Billing address", "Factuuradres"
"Shipment", "Verzending"
"Payment", "Betaalwijze"
"Confirmation", "Bevestiging"
"Log out", "Log uit"
"Confirm and pay", "Bevestig en betaal"
"Your order is not final yet", "Je bestelling is nog niet definitief"
"You will continue to our secure payment page", "Je gaat door naar onze beveiligde betaalomgeving"
"Hello!", "Hallo!"
"Checkout as guest", "Reken af als gast"
"Log in", "Log in"
"hsapi_Register", "Registreer"
"Sign In", "Sign In"
"E-mail address", "E-mailadres"
"ipad_Password", "Wachtwoord"
"Forgot your password?", "Wachtwoord vergeten?"
"Send", "Verzenden"
"We have sent you an e-mail with which you can change your password.", "Er is een e-mail naar het door u opgegeven adres gestuurd waarmee u uw wachtwoord kunt veranderen."
"Create an account now", "Maak een account aan"
"and checkout faster next time", "en bestel de volgende keer makkelijker"
"Please enter a valid e-mailaddress", "Vul een geldig e-mail adres in"
"Please enter a valid password", "Vul een geldig wachtwoord in"
"Repeat the password", "Herhaal wachtwoord"
"First Name", "Voornaam"
"Last Name", "Achternaam"
"Please enter a valid phone number.", "Vul een geldig telefoonnummer in"
"Phone number", "Telefoonnummer"
"We ask for your phone number so that we can call you about your order if need be. We will never use your telephone number for other purposes.", "We vragen om een telefoonnummer zodat we je indien nodig kunnen bellen over de bestelling. We zullen je telefoonnummer nooit gebruiken voor andere doeleinden."
"Street", "Straat"
"House number", "Huisnummer"
"Zip code", "Postcode"
"City", "Plaats"
"Something went wrong", "Er is iets mis gegaan"
"Please try again", "Probeer het opnieuw"
"How do you want to pay for your order?", "Hoe wil je je bestelling<br />betalen?"
"Please check your order.", "Klopt jouw bestelling?"
"Please check the order overview. If this is correct, you can place your order.", "Hier zie je een overzicht van de bestelling. Als dit helemaal klopt kun je de bestelling plaatsen."
"How do you want to receive your order?", "Hoe wil je je bestelling<br />ontvangen?"
"Invoice address / delivery address", "Factuuradres/Bezorgadres"
"Edit", "Wijzig"
"Delivery method", "Verzendoptie"
"Payment method", "Betaalwijze"
"You can continue to the next step when you have entered all fields", "Je kunt pas naar de volgende stap als je alle velden volledig hebt ingevuld"
"There has been an unknown error. Please try again later again later.", "Er heeft zich een onbekende fout voorgedaan. Probeer het later nog eens."
"Thanks for shopping at ", "Leuk dat je bij "
".<span class='hidden'>_ORDER_TEXT</span>", " bestelt."
"When you tap 'Confirm and pay', you agree with ", "Als je op `Bevestig en betaal` tapt, ga je akkoord met "
"the general terms", "de algemene voorwaarden"
" of ", " van "
"Ship to the same address", "Bestelling verzenden naar hetzelfde adres"
"Invoice address", "Factuuradres"
"Delivery address", "Bezorgadres"
"Please make sure your passwords match.", "De ingevoerde wachtwoorden komen niet met elkaar overeen."
"Something went wrong while trying to get your address trough your zip code and house number. Please fill in your street and city manually.", "Er is iets fout gegaan met het ophalen van het adres via postcode en huisnummer. Vul het adres handmatig in."
"Street name is being retrieved", "Straatnaam wordt opgehaald"
"City name is being retrieved", "Plaatsnaam wordt opgehaald"
"No addition is known for this housenumber.", "Geen toevoeging bekend voor dit huisnummer."
"Housenumber addition unknown.", "Huisnummer toevoeging onbekend."
"Known addition:", "Bekende toevoeging:"
"Known additions:", "Bekende toevoegingen:"

"hsapi.index.couponTip", "Heb je een tegoedbon?<br />Die kun je straks in de stap<br />'betaalwijze' invoeren."

"hsapi.addCouponAction.error.fatal", "Er heeft zich een onbekende fout voorgedaan, probleer het later nog eens."
"hsapi.addCouponAction.error.invalid", "De tegoedbon die je ingevoerd hebt is niet geldig."
"hsapi.addCouponAction.error.length", "De tegoedbon die je hebt ingevoerd is te lang, de maximale lengte is "
"hsapi.addCouponAction.success", "Tegoedbon '{coupon_code}' is succesvol toegepast. In je bestellijst kun je je korting bekijken."
"hsapi.addCouponAction.success.removed", "Tegoedbon '{coupon_code}' is succesvol verwijderd."

"hsapi.checkout.coupon.addTitle", "Voeg <u>tegoedbon</u> toe"
"hsapi.checkout.coupon.form.title", "Vul hier de code van je tegoedbon in."
"hsapi.checkout.coupon.form.code", "Tegoedbon"
"hsapi.checkout.coupon.form.add", "Voeg toe"
"hsapi.checkout.coupon.form.remove", "Verwijder"
"hsapi.checkout.coupon.paymentTitle", "Maak hier een keuze uit de volgende betaalopties"

"hsapi.checkout.payment.acceptAfterpayTermsText", "Je moet akkoord gaan met de betalingsvoorwaarden van AfterPay om gebruik te maken van deze betaalmethode"

"hsapi.checkout.billing.error.email", "Vul een geldig e-mailadres in"


"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.", "Het gebruikte e-mailadres is al gekoppeld aan een account. Log in met dit adres of gebruik een ander e-mailadres voor registratie."

'"%s" is not a valid email address.', "hsapi.checkout.email.error"
'"%s" is not a valid hostname.', "hsapi.checkout.email.error"
'"%s" exceeds the allowed length.', "hsapi.checkout.email.error"
"'%value%' appears to be an IP address, but IP addresses are not allowed", "hsapi.checkout.email.error"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list", "hsapi.checkout.email.error"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position", "hsapi.checkout.email.error"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'", "hsapi.checkout.email.error"
"'%value%' appears to be a DNS hostname but cannot extract TLD part", "hsapi.checkout.email.error"
"'%value%' does not appear to be a valid local network name", "hsapi.checkout.email.error"
"'%value%' appears to be a local network name but local network names are not allowed", "hsapi.checkout.email.error"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded", "hsapi.checkout.email.error"



